year,quarter,txn_amount,period
2018,1,172523270810.3788,2018Q1
2018,2,305279798418.15704,2018Q2
2018,3,476033348896.4567,2018Q3
2018,4,673283248301.3535,2018Q4
2019,1,992293635817.1777,2019Q1
2019,2,1356993358740.0303,2019Q2
2019,3,1675692830348.221,2019Q3
2019,4,2263089993906.7183,2019Q4
2020,1,2700008001205.07,2020Q1
2020,2,2648632512846.5513,2020Q2
2020,3,3905742739622.1465,2020Q3
2020,4,5399818617932.306,2020Q4
2021,1,6288245735691.094,2021Q1
2021,2,7480775299428.435,2021Q2
2021,3,9221901249221.28,2021Q3
2021,4,10098111408966.547,2021Q4
2022,1,12902637273132.54,2022Q1
2022,2,15095588957109.432,2022Q2
2022,3,16583731033669.463,2022Q3
2022,4,18384353717137.945,2022Q4
2023,1,20524853702591.984,2023Q1
2023,2,22928170083465.336,2023Q2
2023,3,24021457041139.99,2023Q3
2023,4,27128080651159.31,2023Q4
2024,1,29516491410619.08,2024Q1
2024,2,31829694445437.66,2024Q2
2024,3,32356700509486.277,2024Q3
2024,4,36009328069703.11,2024Q4
2025,1,37332030060226.33,2025Q1
2025,2,38419462580115.195,2025Q2
2025,3,38147339254577.98,2025Q3
2025,4,41477903742783.734,2025Q4
2026,1,43446066746720.33,2026Q1
2026,2,45496453556876.5,2026Q2
