state,segment,segment_label,P2P,Retail,Utility,total_value,growth_since_2018_pct
Andhra Pradesh,0,High-Growth Emerging,75.83932207948419,18.594472636457645,5.566205284058174,8973420947935.475,6374.870783235921
Bihar,0,High-Growth Emerging,72.92277532054615,22.536265837309198,4.540958842144639,5215480208199.8,6498.039035456588
Karnataka,0,High-Growth Emerging,71.94948300582122,22.9680421792437,5.082474814935082,10246137828208.227,6301.531680524338
Rajasthan,0,High-Growth Emerging,71.25966913541825,22.731499019842126,6.008831844739619,6281155578999.801,6245.52091417052
Odisha,0,High-Growth Emerging,72.7630864796284,22.294743980385245,4.942169539986356,3363811651003.6523,4808.385040094521
Telangana,0,High-Growth Emerging,74.46003551815984,19.43340277694652,6.106561704893659,9841909396008.969,7914.643338175807
Maharashtra,0,High-Growth Emerging,71.35209674202582,23.36579353819253,5.2821097197816576,10644652643544.572,5745.7674494424
Madhya Pradesh,0,High-Growth Emerging,70.80882080486653,23.227236327667672,5.963942867465795,4992553559913.025,5639.644260580297
Tamil Nadu,0,High-Growth Emerging,71.87325666287249,21.086032822189708,7.04071051493779,2607981691978.034,3163.1032334989713
Uttar Pradesh,0,High-Growth Emerging,68.76686713378753,25.065049570793185,6.168083295419297,7700083891671.693,5172.0308324475245
West Bengal,0,High-Growth Emerging,72.01463019590595,22.191556877856115,5.793812926237949,4492607953148.663,4655.6224872664325
Himachal Pradesh,1,Mature & Merchant-Heavy,65.15352810616099,29.07269015831357,5.773781735525456,151159953429.23535,2257.3947730757213
Dadra & Nagar Haveli & Daman & Diu,1,Mature & Merchant-Heavy,67.5295563135654,26.39091028473474,6.079533401699855,53496279926.89466,2944.516388479704
Gujarat,1,Mature & Merchant-Heavy,68.10707459316218,24.950108553233026,6.942816853604785,2592077464708.1006,3793.480625917256
Haryana,1,Mature & Merchant-Heavy,67.70758827408427,24.85342366648692,7.438988059428804,2447030512506.3955,3629.2442554330933
Chandigarh,1,Mature & Merchant-Heavy,60.80181398336504,32.060178389296944,7.138007627338004,49017748491.69365,1348.854330711288
Puducherry,1,Mature & Merchant-Heavy,66.43624147612853,26.827315718981517,6.736442804889951,47108598016.56326,3039.686187901724
Punjab,1,Mature & Merchant-Heavy,66.18601469253859,26.49776778532617,7.316217522135234,719408378738.4431,2465.5894774918693
Sikkim,1,Mature & Merchant-Heavy,65.28285576138438,30.76351555036855,3.9536286882470573,34221974459.965645,3548.656948452367
Kerala,1,Mature & Merchant-Heavy,65.60533172167644,28.085015391448025,6.30965288687553,662859928422.2358,3351.6684561185984
Goa,1,Mature & Merchant-Heavy,66.35232366363451,29.152261210021983,4.495415126343508,136413815784.75256,4544.881542403087
Jammu & Kashmir,1,Mature & Merchant-Heavy,67.18807095689957,27.734511738676048,5.077417304424384,375662998064.07263,5229.274158384094
Lakshadweep,1,Mature & Merchant-Heavy,69.95665363715082,25.296367012343303,4.746979350505871,722742481.5030212,2406.214678948929
Chhattisgarh,1,Mature & Merchant-Heavy,67.05941883512624,27.457284640456937,5.483296524416823,1360384431207.0146,5214.860714237781
Uttarakhand,1,Mature & Merchant-Heavy,66.11977098956692,27.623826165879695,6.256402844553385,472837565574.3697,3026.7219773930983
Tripura,1,Mature & Merchant-Heavy,67.02324647625343,27.131234268026805,5.845519255719751,54419528992.222946,3097.7088562058702
Delhi,1,Mature & Merchant-Heavy,67.48086637663717,24.959699364984285,7.559434258378546,2334286592311.6343,3114.4515118558884
Mizoram,2,Low-Penetration / Nascent,76.5285650396104,20.22330202790476,3.2481329324848396,11925561688.363321,2328.7560837522697
Manipur,2,Low-Penetration / Nascent,78.46866355850813,17.823371796288583,3.7079646452033024,33982695240.496407,2056.8772448239215
Nagaland,2,Low-Penetration / Nascent,74.42312356477417,22.261825490060698,3.315050945165136,32385700139.041492,3043.1387827380654
Andaman & Nicobar Islands,3,High-Growth Emerging,66.58582105698795,29.05454587878722,4.359633064224832,21369801432.473286,9214.996190165319
Arunachal Pradesh,3,High-Growth Emerging,69.142155364963,28.058120093308503,2.7997245417284984,91424081034.55226,6726.619338102763
Ladakh,3,High-Growth Emerging,72.85764112052281,22.59645318896343,4.5459056905137425,25194684208.309837,7622.641003423043
Meghalaya,3,High-Growth Emerging,73.45155758316328,22.50490585185016,4.043536564986555,47775566453.76046,5808.023273365059
Assam,3,High-Growth Emerging,71.10324645075286,24.468519634388507,4.428233914858634,1042660811290.1759,6770.832764228589
Jharkhand,3,High-Growth Emerging,70.87652703568646,24.458280556466605,4.665192407846932,1784897538382.646,5823.819613881897
